in s,C1 in V
-3.2027400E-04,-1.99122E+00
-3.2026000E-04,-2.00724E+00
-3.2024600E-04,-2.01525E+00
-3.2023200E-04,-1.99923E+00
-3.2021800E-04,-2.01525E+00
-3.2020400E-04,-2.00724E+00
-3.2019000E-04,-2.01525E+00
-3.2017600E-04,-1.99923E+00
-3.2016200E-04,-2.00724E+00
-3.2014800E-04,-2.03126E+00
-3.2013400E-04,-2.02325E+00
-3.2012000E-04,-2.02325E+00
-3.2010600E-04,-2.00724E+00
-3.2009200E-04,-2.03126E+00
-3.2007800E-04,-2.00724E+00
-3.2006400E-04,-1.99923E+00
-3.2005000E-04,-2.00724E+00
-3.2003600E-04,-1.99122E+00
-3.2002200E-04,-2.02325E+00
-3.2000800E-04,-1.99923E+00
-3.1999400E-04,-2.01525E+00
-3.1998000E-04,-2.00724E+00
-3.1996600E-04,-2.02325E+00
-3.1995200E-04,-2.00724E+00
-3.1993800E-04,-2.00724E+00
-3.1992400E-04,-1.99122E+00
-3.1991000E-04,-2.00724E+00
-3.1989600E-04,-2.00724E+00
-3.1988200E-04,-2.00724E+00
-3.1986800E-04,-1.99923E+00
-3.1985400E-04,-2.02325E+00
-3.1984000E-04,-1.99122E+00
-3.1982600E-04,-2.01525E+00
-3.1981200E-04,-2.00724E+00
-3.1979800E-04,-1.99923E+00
-3.1978400E-04,-2.03927E+00
-3.1977000E-04,-1.99122E+00
-3.1975600E-04,-2.00724E+00
-3.1974200E-04,-2.02325E+00
-3.1972800E-04,-1.98321E+00
