in s,C1 in V
-2.93172E-05,2.63057E+00
-2.93160E-05,2.64033E+00
-2.93148E-05,2.65010E+00
-2.93136E-05,2.63545E+00
-2.93124E-05,2.64033E+00
-2.93112E-05,2.62568E+00
-2.93100E-05,2.63057E+00
-2.93088E-05,2.64521E+00
-2.93076E-05,2.64033E+00
-2.93064E-05,2.63057E+00
-2.93052E-05,2.64521E+00
-2.93040E-05,2.64521E+00
-2.93028E-05,2.62568E+00
-2.93016E-05,2.62568E+00
-2.93004E-05,2.64033E+00
-2.92992E-05,2.64521E+00
-2.92980E-05,2.62568E+00
-2.92968E-05,2.62568E+00
-2.92956E-05,2.64033E+00
-2.92944E-05,2.62568E+00
-2.92932E-05,2.64033E+00
-2.92920E-05,2.64033E+00
-2.92908E-05,2.63057E+00
-2.92896E-05,2.63057E+00
-2.92884E-05,2.64521E+00
-2.92872E-05,2.63057E+00
-2.92860E-05,2.64521E+00
-2.92848E-05,2.64033E+00
-2.92836E-05,2.63545E+00
-2.92824E-05,2.63545E+00
-2.92812E-05,2.63545E+00
-2.92800E-05,2.64033E+00
-2.92788E-05,2.64521E+00
-2.92776E-05,2.63057E+00
-2.92764E-05,2.63057E+00
-2.92752E-05,2.62080E+00
-2.92740E-05,2.63057E+00
-2.92728E-05,2.63545E+00
-2.92716E-05,2.64521E+00
-2.92704E-05,2.63545E+00
-2.92692E-05,2.64033E+00
-2.92680E-05,2.62568E+00
-2.92668E-05,2.63545E+00
-2.92656E-05,2.63545E+00
-2.92644E-05,2.63057E+00
-2.92632E-05,2.61592E+00
-2.92620E-05,2.63545E+00
-2.92608E-05,2.63545E+00
-2.92596E-05,2.64033E+00
-2.92584E-05,2.62568E+00
-2.92572E-05,2.64033E+00
-2.92560E-05,2.62568E+00
-2.92548E-05,2.64033E+00
-2.92536E-05,2.63057E+00
-2.92524E-05,2.63057E+00
-2.92512E-05,2.63057E+00
-2.92500E-05,2.63545E+00
-2.92488E-05,2.63057E+00
-2.92476E-05,2.63057E+00
-2.92464E-05,2.63545E+00
-2.92452E-05,2.64033E+00
-2.92440E-05,2.61592E+00
-2.92428E-05,2.63057E+00
-2.92416E-05,2.64033E+00
-2.92404E-05,2.63057E+00
-2.92392E-05,2.64033E+00
-2.92380E-05,2.64033E+00
-2.92368E-05,2.64033E+00
-2.92356E-05,2.63057E+00
-2.92344E-05,2.64033E+00
-2.92332E-05,2.63057E+00
-2.92320E-05,2.62568E+00
-2.92308E-05,2.62568E+00
-2.92296E-05,2.63545E+00
-2.92284E-05,2.64033E+00
-2.92272E-05,2.63545E+00
-2.92260E-05,2.62568E+00
