Displacement,Force
13.30000019,-4.200000048
13.10000038,-4.200000048
13,-4.200000048
12.80000019,-4.200000048
12.69999981,-4.200000048
12.60000038,-4.200000048
12.5,-4.200000048
12.39999962,-4.200000048
12.30000019,-4.200000048
12.19999981,-4.200000048
12.10000038,-4.200000048
12,-4.200000048
11.89999962,-4.200000048
11.80000019,-4.200000048
11.69999981,-4.200000048
11.60000038,-4.200000048
11.5,-4.200000048
11.39999962,-4.200000048
11.30000019,-4.200000048
11.19999981,-4.200000048
11,-4.200000048
10.89999962,-4.200000048
10.80000019,-4.200000048
10.69999981,-4.200000048
10.60000038,-4.200000048
10.5,-4.200000048
10.39999962,-4.200000048
10.30000019,-4.200000048
10.10000038,-4.200000048
10,-4.200000048
9.899999619,-4.200000048
9.800000191,-4.200000048
9.600000381,-4.200000048
9.5,-4.200000048
9.399999619,-4.200000048
9.199999809,-4.200000048
9.100000381,-4.200000048
9,-4.200000048
8.899999619,-4.200000048
8.699999809,-4.200000048
8.600000381,-4.200000048
8.5,-4.200000048
8.399999619,-4.200000048
8.300000191,-4.100000024
8.199999809,-4.100000024
8.100000381,-4.100000024
8,-4.100000024
7.900000095,-4.100000024
7.800000191,-4.100000024
7.699999809,-4
7.5,-3.899999976
7.5,-3.700000048
7.400000095,-3.700000048
7.199999809,-3.700000048
7.099999905,-3.700000048
7,-3.700000048
7,-3.600000024
6.900000095,-3.399999976
6.800000191,-3.300000012
6.699999809,-3.300000012
6.599999905,-3.300000012
6.5,-3.300000012
6.400000095,-3.199999988
6.300000191,-3
6.199999809,-2.900000006
6.099999905,-2.900000006
6,-2.900000006
5.900000095,-2.600000001
5.800000191,-2.5
5.699999809,-2.5
5.599999905,-2.399999999
5.5,-2.199999988
5.5,-2.099999994
5.300000191,-2.099999994
5.300000191,-1.899999976
5.199999809,-1.800000012
5,-1.699999988
4.900000095,-1.5
4.800000191,-1.399999976
4.699999809,-1.299999952
4.599999905,-1
4.400000095,-0.899999976
4.300000191,-0.700000048
4.199999809,-0.5
4.099999905,-0.400000095
4,-0.200000048
3.900000095,0
3.799999952,0.200000048
3.599999905,0.5
3.5,0.700000048
3.5,0.799999952
3.299999952,1.099999905
3.200000048,1.299999952
3.099999905,1.5
3,1.800000191
2.900000095,2.099999905
2.799999952,2.300000191
2.599999905,2.599999905
2.5,2.900000095
2.5,3.199999809
2.400000095,3.5
2.299999952,3.800000191
2.200000048,4
2.099999905,4.400000095
2,4.699999809
1.899999976,5
1.799999952,5.300000191
1.799999952,5.600000381
1.700000048,5.800000191
1.5,6.199999809
1.5,6.5
1.399999976,6.899999619
1.299999952,7.300000191
1.299999952,7.600000381
1.200000048,7.899999619
1.100000024,8.300000191
1,8.600000381
0.899999976,8.899999619
0.899999976,9.300000191
0.800000012,9.5
0.800000012,9.800000191
0.800000012,10.10000038
0.800000012,10.30000019
0.699999988,10.39999962
0.800000012,10.5
0.699999988,10.5
0.699999988,10.30000019
0.699999988,10.19999981
0.600000024,10.30000019
0.5,10.60000038
0.400000006,10.89999962
0.400000006,11.30000019
0.300000012,11.5
0.200000003,11.80000019
0.200000003,12.10000038
0.100000001,12.30000019
0.100000001,12.60000038
0,13
0,13.19999981
